TIMESTAMP_START,TIMESTAMP_END,TA_1_1_1,RH_1_1_1,PA_2_1_1,SW_IN_1_1_1,SW_OUT_1_1_1,LW_IN_1_1_1,LW_OUT_1_1_1,PPFD_IN_1_1_1,PPFD_OUT_1_1_1,WS_2_1_1,WD_2_1_1,NDVI_1_1_1,TS_1_1_1,TS_2_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,D_SNOW_1_1_1
202312312330,202401010000,-17.112,68.9571,101.346,0.0264015,3.56588,167.304,222.254,0.0758662,0.0818986,2.34778,313.589,0.067599,-11.7658,-11.8215,-10.7306,-11.5719,-9.73504,-11.2195,30.9971
202401010000,202401010030,-16.8601,65.4005,101.327,-2.3129,0.437888,166.922,221.963,0.077359,0.0801124,1.333,289.689,0.068907,-11.7706,-11.8253,-10.7269,-11.5702,-9.73275,-11.2166,30.8968
202401010030,202401010100,-17.3771,71.0095,101.302,-1.15047,1.53608,166.683,221.916,0.0760271,0.0833699,1.94278,283.6,0.0706133,-11.7779,-11.831,-10.7233,-11.5692,-9.7305,-11.2135,30.9117
202401010100,202401010130,-16.894,71.4947,101.288,0.145763,3.03286,166.726,219.408,0.07725,0.081874,1.26922,238.644,0.066888,-11.7872,-11.8384,-10.7197,-11.5693,-9.72814,-11.2108,30.9718
202401010130,202401010200,-17.3718,68.4839,101.282,-1.26176,1.72422,166.179,220.907,0.0749591,0.0817371,2.04767,196.411,0.0700081,-11.7981,-11.8472,-10.7162,-11.57,-9.72588,-11.2084,30.9458
202401010200,202401010230,-17.868,68.8188,101.286,-0.986555,2.86962,165.072,220.286,0.0755237,0.07741,1.59844,266.344,0.0694716,-11.8107,-11.8573,-10.7125,-11.5718,-9.72381,-11.2059,31.2972
202401010230,202401010300,-16.1113,62.9633,101.265,0.636536,4.99566,166.005,221.909,0.0774943,0.0797413,2.12556,286.444,0.0668944,-11.8247,-11.8685,-10.7093,-11.5741,-9.72153,-11.204,30.7775
202401010300,202401010330,-15.7173,59.2247,101.232,-1.5387,1.99032,166.448,228.584,0.0751422,0.0751958,3.53722,253.133,0.0604323,-11.8403,-11.881,-10.7058,-11.5775,-9.71968,-11.2026,30.7484
202401010330,202401010400,-17.0187,64.9424,101.219,-1.37566,2.09672,164.954,224.776,0.0772994,0.0798829,2.23478,266.1,0.0709818,-11.8568,-11.8943,-10.7029,-11.5822,-9.71741,-11.2015,31.1118
202401010400,202401010430,-15.2979,58.6794,101.201,-0.713877,3.28775,165.463,228.854,0.0763129,0.0773837,3.13933,230.056,0.0609715,-11.8745,-11.9081,-10.6995,-11.587,-9.71544,-11.2007,30.7622
202401010430,202401010500,-15.7613,60.5958,101.198,-1.74973,1.45346,164.611,227.057,0.0757968,0.0851564,2.59967,141.656,0.0686378,-11.893,-11.9227,-10.6969,-11.593,-9.71327,-11.2003,30.8456
202401010500,202401010530,-16.1313,61.3061,101.184,-2.75482,-0.0623341,164.451,228.244,0.0789014,0.0829624,3.09122,290.667,0.0741922,-11.9111,-11.9374,-10.6939,-11.5993,-9.71133,-11.2004,30.836
202401010530,202401010600,-16.2439,62.6563,101.2,-0.673502,2.51803,164.382,221.966,0.0723497,0.0826279,1.39033,207.067,0.070558,-11.9299,-11.9519,-10.6913,-11.6064,-9.7092,-11.2011,31.2024
202401010600,202401010630,-16.3966,62.1264,101.202,-1.0306,2.31342,164.37,222.924,0.0757085,0.0816453,1.99767,205.644,0.0725769,-11.9483,-11.9661,-10.6887,-11.614,-9.70706,-11.2021,30.9414
202401010630,202401010700,-15.6819,58.5662,101.194,-0.919017,2.95175,164.714,225.992,0.0761995,0.0812643,3.21522,229.567,0.0668757,-11.9669,-11.9801,-10.6861,-11.6216,-9.70497,-11.2036,30.5663
202401010700,202401010730,-15.6214,60.1059,101.195,-1.31401,1.84353,164.352,224.45,0.0787042,0.0855291,2.31011,263.167,0.0710228,-11.9846,-11.9936,-10.6841,-11.6296,-9.70289,-11.2055,30.5513
202401010730,202401010800,-15.4587,58.4886,101.185,-1.46718,1.71718,164.67,225.155,0.0756999,0.0835157,2.48922,221.411,0.0720402,-12.0022,-12.0072,-10.6819,-11.6378,-9.70098,-11.2078,30.7673
202401010800,202401010830,-15.5665,57.8499,101.171,-1.12721,2.27681,165.217,225.696,0.0787312,0.0826312,3.08322,302.356,0.0700869,-12.0199,-12.0207,-10.68,-11.6461,-9.69913,-11.2104,30.6061
202401010830,202401010900,-16.4263,59.723,101.162,-2.16703,0.324261,164.938,224.321,0.0754111,0.0808933,2.22444,279.067,0.073557,-12.0375,-12.0339,-10.6785,-11.6544,-9.69729,-11.2133,30.8074
202401010900,202401010930,-16.1527,60.9113,101.171,-0.968138,1.28641,164.89,220.078,0.0740699,0.0812385,1.146,275.056,0.0694126,-12.0547,-12.0469,-10.6766,-11.6632,-9.6952,-11.2163,31.0802
202401010930,202401011000,-15.3321,58.1449,101.158,0.50327,4.47314,165.667,229.497,0.074708,0.0736305,4.96522,285.767,0.0636566,-12.072,-12.0604,-10.6754,-11.6716,-9.69367,-11.2197,30.6627
202401011000,202401011030,-15.3061,57.5988,101.162,-3.07055,-0.200984,165.258,228.499,0.0777857,0.0771861,2.05144,261.033,0.0623267,-12.0895,-12.0736,-10.6743,-11.6804,-9.69228,-11.2234,30.7813
202401011030,202401011100,-15.507,58.4013,101.159,-0.966512,2.48216,165.362,227.657,0.0756049,0.0828019,3.64844,282.344,0.0710127,-12.1063,-12.0864,-10.6733,-11.6893,-9.69029,-11.2271,30.6138
202401011100,202401011130,-15.7134,57.8126,101.174,-1.82923,1.66578,164.821,227.068,0.076657,0.0849029,2.43811,223.067,0.0708536,-12.1232,-12.0995,-10.6728,-11.6981,-9.68871,-11.2311,30.6138
202401011130,202401011200,-15.6114,57.1786,101.166,-1.55469,1.82317,165.304,230.579,0.0784219,0.0815788,4.36067,264.544,0.0721186,-12.1396,-12.1125,-10.6721,-11.707,-9.68707,-11.2354,30.7563
202401011200,202401011230,-16.3912,59.8213,101.18,-2.20279,1.45183,163.724,228.429,0.081357,0.0887918,2.72222,169.956,0.0714566,-12.1559,-12.1252,-10.6717,-11.7161,-9.68553,-11.2395,31.1139
202401011230,202401011300,-17.3726,60.7806,101.185,-2.32016,0.660212,163.349,225.592,0.0851151,0.0905097,3.60711,282.667,0.072842,-12.1719,-12.1377,-10.6718,-11.7253,-9.68396,-11.2443,30.6814
202401011300,202401011330,-15.9097,57.078,101.18,-0.957909,3.0652,163.798,228.754,0.0840205,0.0844221,3.85622,183.367,0.0665819,-12.187,-12.1494,-10.6715,-11.7342,-9.68238,-11.249,30.6511
202401011330,202401011400,-15.6396,55.4353,101.169,-2.24932,1.09709,162.824,230.366,0.0878341,0.0879115,3.60956,302.567,0.0711374,-12.2017,-12.1606,-10.6717,-11.7433,-9.68116,-11.2538,30.8355
202401011400,202401011430,-15.8072,55.5078,101.191,-2.08525,1.42037,161.535,228.07,0.0837451,0.0907141,3.287,286.222,0.0686339,-12.2161,-12.1715,-10.6719,-11.7522,-9.67983,-11.259,30.7596
202401011430,202401011500,-16.8869,58.2883,101.199,-2.56764,0.327591,160.201,227.605,0.0789894,0.0867985,4.55233,288.1,0.0737791,-12.2294,-12.1816,-10.6726,-11.7607,-9.67855,-11.2641,30.7859
202401011500,202401011530,-17.0035,58.9109,101.203,-2.42629,0.687291,159.159,228.063,0.0784142,0.0830381,4.428,337.933,0.0657612,-12.2423,-12.1911,-10.6732,-11.7693,-9.67718,-11.2691,30.7352
202401011530,202401011600,-16.9891,57.9215,101.228,-2.08475,1.75807,157.914,223.791,0.0764513,0.0818266,2.36622,196.678,0.0728944,-12.2539,-12.2002,-10.6739,-11.7773,-9.67585,-11.2743,30.8074
202401011600,202401011630,-18.1406,60.4966,101.248,-2.31593,0.646561,156.517,220.063,0.073157,0.0806487,3.17578,127.556,0.07394,-12.265,-12.2088,-10.6749,-11.7854,-9.67402,-11.2795,30.5762
202401011630,202401011700,-18.4386,61.6046,101.261,-1.9582,1.15849,156.368,222.976,0.0760591,0.077629,4.47656,325.122,0.0746238,-12.2756,-12.2171,-10.6758,-11.7931,-9.67341,-11.2847,30.7382
202401011700,202401011730,-18.3791,63.4949,101.296,-2.15007,1.36026,155.239,215.374,0.073139,0.0779832,1.18978,239.933,0.0686677,-12.2859,-12.2248,-10.6769,-11.8006,-9.67194,-11.2899,31.2248
202401011730,202401011800,-17.7338,58.631,101.293,-0.484003,3.71183,154.286,219.209,0.0728063,0.0799454,3.69844,61.3333,0.0652503,-12.2962,-12.2326,-10.678,-11.8077,-9.67121,-11.2949,30.6085
